# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               NH3             
  91               5.40827454E+02   2.38720879E+03   8.37616695E-01   1.60298072E-01   6.76188354E-04   2.88687694E-04   5.85271033E-04   2.35024593E-04   4.37127958E-05   3.25092041E-05  
  92               5.65177457E+02   2.41202762E+03   8.37565630E-01   1.60292493E-01   6.73521489E-04   2.85330744E-04   6.44406970E-04   2.37802481E-04   4.34428579E-05   3.29429617E-05  
  93               5.94170690E+02   2.44200783E+03   8.37498089E-01   1.60285085E-01   6.69979932E-04   2.80916506E-04   7.22725544E-04   2.41475214E-04   4.31440833E-05   3.34055800E-05  
  94               6.28559306E+02   2.47440632E+03   8.37417593E-01   1.60276847E-01   6.67072483E-04   2.77016165E-04   8.14136671E-04   2.44518201E-04   4.27720192E-05   3.39999478E-05  
  95               6.69179216E+02   2.51217233E+03   8.37313189E-01   1.60266270E-01   6.63599695E-04   2.72317371E-04   9.32355729E-04   2.48144283E-04   4.23546529E-05   3.46505058E-05  
  96               7.16970626E+02   2.55276040E+03   8.37188121E-01   1.60254241E-01   6.60882524E-04   2.68191748E-04   1.07187252E-03   2.51020970E-04   4.18531983E-05   3.54480954E-05  
  97               7.72984507E+02   2.59848520E+03   8.37029756E-01   1.60239256E-01   6.58056248E-04   2.63659723E-04   1.24773182E-03   2.54025777E-04   4.12879093E-05   3.63344337E-05  
  98               8.38357232E+02   2.64732269E+03   8.36839917E-01   1.60221915E-01   6.56090071E-04   2.59714807E-04   1.45649735E-03   2.56186842E-04   4.06306452E-05   3.73763310E-05  
  99               9.14312583E+02   2.70043412E+03   8.36607253E-01   1.60201037E-01   6.54589111E-04   2.55864296E-04   1.71111685E-03   2.57913647E-04   3.98912017E-05   3.85427232E-05  
  100              1.00208380E+03   2.75685242E+03   8.36329226E-01   1.60176579E-01   6.53957150E-04   2.52487017E-04   2.01375092E-03   2.58812534E-04   3.90594259E-05   3.98575682E-05  
  101              1.10298640E+03   2.81592721E+03   8.36003023E-01   1.60148384E-01   6.54403772E-04   2.49756795E-04   2.36714762E-03   2.58688572E-04   3.81312451E-05   4.13313176E-05  
